CustomerID,Age,Income,EmploymentType,ResidenceType,CreditScore,LoanAmount,LoanTerm,PreviousDefault,RiskCategory
44,24,5523,Salaried,Rented,479,425231,234,No,Very High
45,38,12677,Unemployed,Owned,382,471276,186,Yes,Medium
46,26,13292,Unemployed,Owned,831,347368,220,Yes,Low
47,56,18089,Unemployed,Owned,800,19350,60,Yes,High
48,35,7581,Salaried,Parental Home,647,371896,35,No,Medium
49,21,14907,Salaried,Rented,571,39045,349,No,High
50,42,8609,Self-employed,Rented,630,470518,117,No,High
51,31,47143,Self-employed,Owned,688,243087,322,No,Low
52,67,25936,Self-employed,Owned,436,387902,274,No,Very High
53,26,45725,Self-employed,Parental Home,660,388828,217,Yes,Very High
54,43,48723,Salaried,Parental Home,581,134663,180,No,Very High
55,19,36988,Salaried,Rented,501,12353,169,No,High
56,37,32506,Self-employed,Parental Home,830,13578,252,Yes,Very High
57,45,16163,Salaried,Parental Home,315,446224,134,Yes,Very High
58,64,49057,Salaried,Parental Home,413,78203,31,Yes,Low
59,24,15537,Salaried,Owned,367,5013,67,Yes,Very High
60,61,25419,Salaried,Owned,329,323693,291,Yes,High
61,25,45578,Self-employed,Rented,818,156642,119,Yes,Low
62,64,12455,Self-employed,Parental Home,321,123163,151,No,Very High
63,52,12063,Salaried,Owned,730,213376,102,No,Medium
64,31,3834,Unemployed,Parental Home,329,316299,282,No,Very High
65,34,35214,Self-employed,Rented,709,360325,340,Yes,High
66,53,30398,Self-employed,Parental Home,348,168479,221,Yes,Low
67,67,37492,Unemployed,Rented,624,139362,187,No,Very High
68,57,5413,Self-employed,Rented,787,246227,72,No,Medium
69,21,12505,Unemployed,Owned,597,132771,295,Yes,Very High
70,19,40266,Unemployed,Parental Home,480,66282,14,No,Low
71,23,5105,Salaried,Owned,421,394335,283,Yes,Low
72,59,5568,Self-employed,Parental Home,423,438914,175,Yes,Low
73,21,45098,Unemployed,Parental Home,752,63946,20,Yes,Low
74,46,40679,Salaried,Rented,565,215653,23,Yes,Low
75,35,36560,Self-employed,Rented,327,181831,85,No,High
76,43,17195,Salaried,Parental Home,558,206434,249,No,Medium
77,61,49669,Salaried,Owned,376,241916,311,No,Medium
78,51,18762,Unemployed,Rented,731,240536,119,No,Medium
79,27,44294,Self-employed,Rented,334,336653,24,Yes,High
80,53,18898,Salaried,Parental Home,735,294262,245,No,Low
81,31,24577,Unemployed,Parental Home,413,293362,256,No,Very High
82,48,4214,Unemployed,Rented,361,293209,332,Yes,High
83,65,23803,Salaried,Owned,351,355651,103,Yes,Low
84,32,26698,Salaried,Rented,415,312162,209,No,High
85,25,35980,Unemployed,Parental Home,346,460760,127,Yes,Very High
86,31,4658,Salaried,Rented,737,429714,142,Yes,Very High
87,40,15270,Salaried,Parental Home,711,494828,164,Yes,Medium
88,57,49797,Self-employed,Rented,400,191601,132,Yes,High
89,38,40792,Unemployed,Parental Home,578,155689,119,Yes,Very High
90,33,48807,Salaried,Parental Home,406,363574,27,Yes,Low
91,62,25301,Unemployed,Owned,334,195111,310,Yes,Medium
92,35,8141,Self-employed,Parental Home,658,415986,67,Yes,Very High
93,64,41756,Unemployed,Rented,301,209151,114,No,Medium
94,41,16777,Unemployed,Parental Home,791,452160,219,No,Low
95,43,41346,Unemployed,Rented,571,415797,162,Yes,Low
96,42,32441,Self-employed,Owned,443,416885,273,No,High
97,62,31469,Self-employed,Rented,734,348202,54,Yes,Low
98,58,6845,Unemployed,Owned,750,489315,311,Yes,Low
99,46,47650,Unemployed,Owned,527,116605,129,No,Low
100,32,26290,Self-employed,Parental Home,844,377629,347,No,Medium
101,62,33699,Salaried,Owned,513,24343,290,Yes,Low
102,18,47252,Self-employed,Rented,547,317557,155,Yes,Medium
103,42,36146,Unemployed,Owned,707,132605,239,Yes,Very High
104,24,6293,Salaried,Owned,352,285068,215,Yes,Very High
105,26,47398,Salaried,Parental Home,613,193121,240,No,Medium
106,41,49428,Salaried,Rented,673,374433,276,No,Medium
107,18,19608,Self-employed,Owned,336,230100,148,No,Low
108,61,3737,Self-employed,Parental Home,823,331551,251,No,Low
109,25,19619,Self-employed,Parental Home,383,247923,197,Yes,Medium
110,41,15470,Self-employed,Rented,393,299210,326,No,High
111,28,25372,Unemployed,Parental Home,714,223655,162,No,High
112,68,19117,Salaried,Owned,641,68894,336,No,High
113,34,17779,Unemployed,Parental Home,849,207928,302,Yes,Very High
114,25,32294,Self-employed,Rented,720,127355,121,Yes,Low
115,52,24630,Self-employed,Rented,647,129900,51,Yes,Medium
116,52,43039,Unemployed,Parental Home,427,251973,153,Yes,Very High
117,50,15178,Salaried,Owned,451,177645,351,Yes,Very High
118,22,22935,Salaried,Parental Home,821,478452,24,No,Low
119,59,25784,Self-employed,Rented,337,427373,64,No,Medium
120,56,26027,Self-employed,Parental Home,726,84820,91,No,High
121,58,34008,Self-employed,Parental Home,404,133078,244,No,Low
122,45,49631,Self-employed,Owned,464,99529,50,Yes,Very High
123,24,4823,Salaried,Parental Home,843,320530,238,Yes,Very High
124,26,9852,Unemployed,Owned,511,340183,351,Yes,Very High
125,25,16072,Salaried,Parental Home,825,450841,132,Yes,Very High
126,29,14133,Unemployed,Parental Home,431,409705,76,No,High
127,51,18111,Self-employed,Owned,451,481425,307,Yes,Medium
128,50,35312,Self-employed,Owned,395,496743,216,No,High
129,65,27161,Unemployed,Rented,802,345539,146,Yes,Very High
130,40,42287,Self-employed,Owned,821,278159,56,No,Medium
131,41,4777,Salaried,Parental Home,673,240055,289,Yes,Low
132,54,27014,Self-employed,Rented,315,351704,146,No,Low
133,52,17772,Self-employed,Owned,317,411312,63,No,High
134,61,49389,Self-employed,Owned,708,292706,240,No,Low
135,57,47627,Self-employed,Rented,306,346882,79,Yes,Very High
136,39,21161,Salaried,Parental Home,544,464775,209,Yes,Medium
137,44,45264,Unemployed,Parental Home,428,192228,78,Yes,Medium
138,52,10490,Self-employed,Rented,754,30848,14,No,High
139,18,44661,Self-employed,Parental Home,371,203387,69,No,Medium
140,52,27502,Salaried,Owned,459,449068,267,No,Low
141,54,38757,Salaried,Parental Home,386,53548,276,No,High
142,64,44111,Salaried,Owned,700,324295,27,Yes,Very High
143,31,35737,Self-employed,Parental Home,761,408642,279,No,High
144,20,20709,Unemployed,Owned,828,148608,113,Yes,Low
145,18,47682,Salaried,Rented,388,262150,298,No,Low
146,22,11998,Salaried,Owned,305,475103,233,Yes,Low
147,43,31906,Salaried,Parental Home,383,462772,32,No,High
148,31,38490,Unemployed,Owned,549,205591,32,No,High
149,56,7656,Self-employed,Parental Home,715,117409,103,Yes,Medium
150,44,39901,Self-employed,Parental Home,371,243591,295,Yes,High
151,26,28735,Self-employed,Owned,411,347261,144,No,Very High
152,32,32092,Salaried,Parental Home,471,315174,338,No,High
153,32,4242,Self-employed,Rented,572,217378,340,No,Medium
154,43,44307,Salaried,Parental Home,829,12385,186,Yes,Very High
155,59,4831,Unemployed,Rented,618,61746,224,Yes,Very High
156,30,31511,Unemployed,Rented,381,289686,159,Yes,High
157,68,10246,Self-employed,Parental Home,374,418439,243,Yes,Medium
158,49,34467,Salaried,Rented,728,120513,176,Yes,Medium
159,56,21302,Salaried,Rented,759,433720,325,No,Very High
160,66,6232,Self-employed,Owned,645,188630,156,No,Very High
161,69,39526,Unemployed,Rented,548,482910,309,Yes,Medium
162,49,41765,Unemployed,Rented,686,58784,234,No,Low
163,21,13972,Unemployed,Rented,662,423283,73,Yes,Low
164,47,37592,Unemployed,Rented,595,277195,107,Yes,High
165,54,13683,Unemployed,Rented,367,179371,123,Yes,Medium
166,40,26664,Self-employed,Parental Home,737,161239,98,Yes,Very High
167,56,39828,Self-employed,Rented,831,433718,266,Yes,Low
168,62,36172,Self-employed,Parental Home,432,323183,124,No,Very High
169,32,21105,Unemployed,Parental Home,594,496322,265,No,Very High
170,60,24700,Unemployed,Parental Home,595,203100,359,No,Medium
171,46,14017,Self-employed,Owned,332,374587,333,No,Very High
172,53,39613,Self-employed,Owned,673,358831,43,Yes,Medium
173,30,23594,Unemployed,Parental Home,331,136754,75,No,Very High
174,49,14384,Salaried,Owned,604,161276,165,No,Low
175,24,33348,Self-employed,Rented,407,461375,16,Yes,Medium
176,68,19448,Unemployed,Parental Home,395,394712,341,No,Very High
177,39,12491,Unemployed,Parental Home,365,156938,221,No,High
178,45,16112,Self-employed,Parental Home,820,313806,103,No,High
179,19,34021,Salaried,Owned,529,26131,233,No,High
180,59,47553,Unemployed,Owned,657,187464,201,Yes,High
181,62,3968,Self-employed,Owned,701,180786,71,Yes,Low
182,23,3368,Unemployed,Rented,398,496620,216,No,Low
183,45,11424,Unemployed,Owned,570,137165,223,Yes,High
184,45,38010,Unemployed,Parental Home,661,84021,269,No,Very High
185,61,38851,Unemployed,Owned,463,15683,100,No,Low
186,61,28496,Salaried,Owned,827,90692,247,No,High
187,37,33936,Self-employed,Owned,468,439608,343,Yes,Low
188,47,16322,Self-employed,Owned,320,141406,207,Yes,Low
189,28,4469,Self-employed,Parental Home,839,234912,343,No,Very High
190,45,40493,Self-employed,Owned,696,382432,194,Yes,Very High
191,42,7259,Self-employed,Parental Home,335,113162,262,Yes,Medium
192,56,39390,Salaried,Owned,794,368203,235,Yes,Very High
193,50,13292,Unemployed,Rented,613,341190,182,Yes,High
194,18,29841,Unemployed,Rented,789,217253,209,No,Medium
195,44,31365,Self-employed,Parental Home,575,199784,260,No,High
196,69,20207,Unemployed,Parental Home,532,159972,192,No,Very High
197,30,39199,Unemployed,Rented,735,429323,288,No,Very High
198,58,25912,Unemployed,Rented,305,323804,286,No,Low
199,20,39919,Self-employed,Owned,834,47822,172,Yes,High
200,56,39981,Self-employed,Rented,543,235903,259,Yes,Medium
201,23,18235,Salaried,Parental Home,540,291790,330,No,Very High
202,25,44757,Self-employed,Parental Home,572,59400,199,No,Medium
203,44,36547,Salaried,Rented,374,333123,30,No,Very High
204,26,46810,Self-employed,Parental Home,582,315561,255,No,Very High
205,54,22276,Unemployed,Owned,834,460254,124,Yes,Low
206,50,34923,Salaried,Owned,386,330649,289,Yes,Medium
207,68,8534,Salaried,Rented,448,76210,62,No,Very High
208,59,29469,Salaried,Parental Home,449,108499,355,No,Very High
209,61,39074,Self-employed,Rented,459,400085,134,Yes,Low
210,41,38670,Salaried,Parental Home,745,58800,249,No,Very High
211,32,35563,Self-employed,Parental Home,381,310115,330,No,Low
212,49,49159,Salaried,Parental Home,306,163569,73,No,Low
213,49,39486,Self-employed,Owned,481,231668,85,No,Low
214,41,3021,Salaried,Parental Home,825,180383,256,Yes,Very High
215,58,37268,Unemployed,Owned,777,218271,43,No,Low
216,69,44802,Unemployed,Parental Home,482,5770,164,Yes,Medium
217,66,18799,Salaried,Rented,613,92482,155,Yes,Medium
218,66,29336,Self-employed,Owned,473,317249,26,No,Medium
219,69,6641,Self-employed,Owned,313,427216,315,No,Medium
220,29,24596,Self-employed,Owned,599,268703,285,No,Low
221,56,35959,Unemployed,Rented,372,359753,256,No,High
222,19,16306,Unemployed,Owned,813,57598,290,Yes,Very High
223,20,49182,Unemployed,Rented,642,442543,66,No,Very High
224,66,11587,Self-employed,Parental Home,695,360803,53,No,High
225,54,34359,Self-employed,Parental Home,632,11982,63,Yes,High
226,66,24498,Self-employed,Rented,654,154896,22,No,Very High
227,34,7662,Salaried,Owned,462,365556,322,No,Very High
228,66,40094,Salaried,Owned,415,124142,99,Yes,High
229,19,44833,Salaried,Rented,702,14147,238,No,Medium
230,19,30197,Unemployed,Parental Home,378,405294,125,Yes,Low
231,45,23719,Unemployed,Rented,746,352424,36,No,Very High
232,40,27665,Self-employed,Owned,307,90409,103,Yes,Very High
233,54,46239,Salaried,Owned,322,70853,98,Yes,Very High
234,49,28032,Self-employed,Owned,842,365788,92,No,Medium
235,50,15641,Salaried,Owned,713,248004,261,Yes,Medium
236,18,44964,Salaried,Parental Home,708,173284,261,No,Very High
237,36,33028,Self-employed,Parental Home,321,351138,221,No,Medium
238,19,48494,Self-employed,Parental Home,702,128517,20,No,Very High
239,61,18651,Salaried,Owned,456,50456,110,No,Low
240,43,11536,Salaried,Owned,629,199875,47,No,Medium
241,49,48712,Unemployed,Owned,321,479793,68,No,Low
242,23,9273,Self-employed,Rented,771,289206,74,No,High
243,49,9284,Self-employed,Owned,563,50423,349,No,Very High
244,21,28692,Self-employed,Parental Home,602,376030,287,Yes,Medium
245,28,11817,Self-employed,Parental Home,764,396860,224,No,Low
246,34,31955,Salaried,Parental Home,463,125172,314,Yes,Medium
247,55,29555,Unemployed,Rented,435,344860,31,Yes,High
248,41,23378,Self-employed,Parental Home,551,247567,258,Yes,Low
249,22,44182,Salaried,Rented,504,149456,17,Yes,High
250,69,20127,Salaried,Rented,601,17128,84,No,High
251,51,20952,Salaried,Rented,541,279617,118,No,Low
252,23,14539,Salaried,Owned,360,241355,104,Yes,Medium
253,39,49761,Salaried,Owned,764,7366,296,Yes,Low
254,28,49219,Self-employed,Parental Home,601,32578,230,Yes,High
255,65,17692,Self-employed,Parental Home,771,443865,60,No,Very High
256,33,21120,Unemployed,Rented,693,282471,306,No,Low
257,50,16334,Self-employed,Owned,558,465317,299,No,Very High
258,26,31615,Salaried,Parental Home,841,456352,188,No,Medium
259,23,10903,Unemployed,Parental Home,829,369152,310,No,Low
260,33,31527,Salaried,Owned,486,490728,119,Yes,Very High
261,46,18629,Salaried,Rented,511,435185,295,No,High
262,20,20740,Self-employed,Parental Home,334,393919,312,Yes,Medium
263,37,36782,Salaried,Parental Home,446,378153,76,Yes,Very High
264,53,29708,Self-employed,Owned,581,344889,317,Yes,Medium
265,36,13860,Salaried,Owned,846,280073,65,Yes,Low
266,43,20438,Unemployed,Rented,548,146516,318,No,Very High
267,20,4764,Salaried,Rented,356,406972,310,No,Low
268,36,9009,Self-employed,Parental Home,604,401669,331,No,Low
269,37,23842,Salaried,Rented,821,184496,41,No,High
270,49,45372,Self-employed,Parental Home,660,440478,257,No,Very High
271,24,36435,Self-employed,Parental Home,536,52292,221,Yes,Very High
272,69,6370,Unemployed,Owned,533,31326,232,No,Very High
273,58,41744,Self-employed,Parental Home,522,356681,181,No,Medium
274,50,23454,Unemployed,Owned,626,169097,354,No,Medium
275,57,44381,Unemployed,Parental Home,397,281932,225,Yes,Medium
276,56,41367,Salaried,Parental Home,525,195011,333,Yes,Medium
277,35,6650,Unemployed,Parental Home,788,191445,80,No,Very High
278,57,48117,Self-employed,Rented,777,268190,245,Yes,Very High
279,18,28708,Self-employed,Rented,633,142718,26,Yes,Medium
280,28,45662,Unemployed,Owned,811,318528,145,Yes,High
281,45,6190,Salaried,Parental Home,681,64938,217,Yes,Very High
282,42,11789,Unemployed,Owned,722,58229,35,No,Medium
283,67,35125,Unemployed,Owned,647,229768,96,No,Low
284,40,36159,Self-employed,Parental Home,452,457200,153,Yes,High
285,48,20459,Salaried,Rented,751,424503,151,Yes,Very High
286,47,38418,Salaried,Rented,589,349112,335,Yes,High
287,59,49368,Salaried,Owned,418,226351,133,Yes,Medium
288,52,21768,Salaried,Rented,513,105157,311,Yes,Low
289,24,18563,Self-employed,Parental Home,738,418341,352,Yes,Low
290,33,30885,Salaried,Parental Home,746,170908,190,No,Medium
291,43,24885,Salaried,Rented,341,455951,219,Yes,High
292,65,9895,Salaried,Rented,694,130830,177,No,Very High
293,69,26958,Self-employed,Owned,546,116720,52,No,Medium
294,66,4531,Self-employed,Rented,590,241833,133,No,High
295,19,8481,Salaried,Owned,547,264704,55,Yes,Medium
296,18,26932,Self-employed,Parental Home,748,76359,86,Yes,Low
297,65,24360,Unemployed,Parental Home,383,424241,359,No,Very High
298,29,46642,Salaried,Parental Home,520,431212,283,No,Medium
299,22,27829,Self-employed,Rented,350,434236,177,Yes,Low
300,54,22932,Salaried,Rented,849,365799,261,Yes,Medium
301,49,41931,Salaried,Rented,486,498792,97,Yes,Low
302,26,41032,Self-employed,Owned,824,156493,148,Yes,Low
303,58,18890,Unemployed,Owned,522,29809,344,Yes,Very High
304,52,21807,Salaried,Owned,764,62609,50,No,Low
305,36,14767,Unemployed,Parental Home,718,153313,98,Yes,Very High
306,65,11071,Self-employed,Owned,386,445633,166,No,Very High
307,33,29149,Salaried,Rented,558,390522,171,No,Low
308,20,18540,Self-employed,Rented,480,276212,75,No,Low
309,37,38676,Self-employed,Parental Home,610,331873,234,No,Very High
310,41,7712,Self-employed,Rented,472,31834,357,Yes,Medium
311,50,29201,Self-employed,Rented,621,74730,157,No,Medium
312,41,47958,Salaried,Rented,639,96756,215,No,Medium
313,69,22899,Unemployed,Owned,795,346379,78,Yes,High
314,28,22787,Unemployed,Owned,544,56544,16,Yes,Low
315,66,23982,Salaried,Rented,804,336004,70,No,Very High
316,25,25606,Salaried,Rented,628,48911,87,Yes,High
317,53,13150,Unemployed,Rented,495,198035,271,Yes,Low
318,55,23393,Unemployed,Rented,361,306173,259,Yes,Very High
319,57,40259,Salaried,Owned,324,130527,27,Yes,Low
320,37,49687,Self-employed,Parental Home,677,485087,86,Yes,Medium
321,52,49936,Salaried,Rented,594,425048,187,No,High
322,65,30750,Unemployed,Owned,351,6432,333,Yes,Very High
323,42,11593,Self-employed,Rented,339,267624,147,Yes,Low
324,52,20358,Unemployed,Parental Home,756,127879,288,Yes,Very High
325,42,19607,Self-employed,Owned,301,335650,293,Yes,Very High
326,46,40381,Unemployed,Owned,768,170505,179,No,Very High
327,35,27811,Self-employed,Parental Home,405,382160,41,Yes,Medium
328,63,31074,Salaried,Parental Home,515,319550,333,No,Very High
329,35,23595,Salaried,Owned,713,150337,347,Yes,High
330,19,47194,Self-employed,Parental Home,509,79144,280,No,High
331,52,29853,Self-employed,Rented,357,208858,12,Yes,Low
332,33,11183,Salaried,Parental Home,342,121989,182,Yes,Low
333,58,23661,Salaried,Parental Home,437,5944,140,No,Very High
334,53,44169,Self-employed,Owned,788,301964,179,Yes,Medium
335,50,39495,Self-employed,Parental Home,768,408758,72,No,High
336,21,16703,Salaried,Owned,688,456539,128,Yes,Very High
337,50,33815,Unemployed,Rented,497,78239,333,No,High
338,31,32565,Salaried,Parental Home,501,227840,134,No,Low
339,38,25942,Self-employed,Parental Home,491,327142,271,Yes,Medium
340,65,45986,Self-employed,Owned,406,235827,237,No,High
341,37,36161,Unemployed,Owned,626,474955,303,Yes,Low
342,25,44803,Salaried,Parental Home,656,48743,197,No,High
343,24,12716,Self-employed,Owned,800,242294,96,Yes,Very High
344,20,44563,Salaried,Parental Home,583,428138,229,No,High
345,34,36349,Self-employed,Rented,767,18965,154,No,High
346,50,45899,Unemployed,Parental Home,807,287531,101,Yes,Very High
347,65,3132,Salaried,Rented,405,301498,352,No,Medium
348,29,6385,Salaried,Rented,593,54541,279,Yes,Medium
349,68,39538,Unemployed,Owned,365,270872,87,Yes,Very High
350,39,38036,Self-employed,Owned,494,63193,80,Yes,Medium
351,39,36743,Self-employed,Owned,487,357071,309,Yes,Medium
352,63,43373,Salaried,Owned,346,30394,171,Yes,Very High
353,47,10213,Unemployed,Parental Home,661,123323,19,Yes,High
354,55,47223,Salaried,Rented,836,82835,230,Yes,Medium
355,55,29119,Salaried,Parental Home,786,142552,321,Yes,Low
356,62,5835,Self-employed,Rented,545,450022,99,Yes,Low
357,68,5738,Self-employed,Rented,477,492282,152,Yes,Very High
358,25,45317,Self-employed,Rented,414,52232,40,Yes,Low
359,44,7134,Self-employed,Parental Home,464,467858,24,No,Low
360,44,28892,Self-employed,Owned,518,351383,325,Yes,Very High
361,51,42601,Unemployed,Parental Home,496,495852,74,Yes,Low
362,38,11353,Salaried,Rented,700,81656,354,Yes,Low
363,47,18690,Unemployed,Parental Home,375,43920,186,No,High
364,50,4909,Salaried,Rented,725,89854,227,Yes,Very High
365,45,28703,Self-employed,Owned,586,96258,246,Yes,Medium
366,64,17496,Unemployed,Owned,844,253583,98,Yes,Very High
367,50,15062,Salaried,Parental Home,598,494752,85,No,Low
368,22,12850,Self-employed,Owned,593,335185,305,Yes,Low
369,65,30701,Self-employed,Rented,746,225071,80,No,Medium
370,36,37731,Unemployed,Rented,713,347466,80,Yes,Medium
371,21,8153,Unemployed,Owned,730,340478,234,Yes,High
372,52,13481,Unemployed,Owned,529,69918,296,No,Low
373,66,36734,Self-employed,Owned,395,160325,133,No,Low
374,34,3889,Salaried,Parental Home,738,372382,274,No,Low
375,61,22445,Salaried,Parental Home,470,145075,232,Yes,High
376,45,9461,Unemployed,Rented,616,218047,322,No,Very High
377,47,41934,Salaried,Parental Home,843,210507,175,No,Medium
378,46,31205,Self-employed,Parental Home,790,19714,274,Yes,High
379,63,26351,Salaried,Rented,687,151933,103,Yes,High
380,23,19006,Self-employed,Rented,371,120697,277,Yes,Low
381,52,47149,Unemployed,Owned,831,484254,347,No,Medium
382,58,13940,Salaried,Owned,538,361104,85,Yes,Very High
383,54,14258,Self-employed,Parental Home,388,270460,325,Yes,Low
384,41,27485,Unemployed,Rented,834,214667,101,No,High
385,46,26763,Unemployed,Parental Home,453,434473,307,Yes,High
386,66,43048,Unemployed,Parental Home,489,25710,140,Yes,Medium
387,63,4067,Unemployed,Rented,714,386137,60,No,Medium
388,48,23607,Salaried,Rented,453,452649,97,No,Medium
389,52,46883,Self-employed,Rented,638,112896,155,No,Low
390,50,12018,Salaried,Rented,816,478953,146,No,High
391,69,49946,Self-employed,Parental Home,334,284721,126,No,Medium
392,38,18187,Unemployed,Parental Home,825,206602,288,Yes,Very High
393,49,40375,Salaried,Parental Home,836,405722,77,No,Medium
394,40,6985,Unemployed,Rented,517,324265,198,No,Medium
395,50,46052,Self-employed,Owned,553,465249,356,Yes,Low
396,20,22563,Unemployed,Parental Home,502,145514,212,No,Low
397,35,40306,Salaried,Owned,400,325360,149,No,Low
398,42,21608,Salaried,Owned,660,269554,63,Yes,Low
399,59,42139,Self-employed,Owned,477,293298,224,Yes,Medium
400,48,4726,Self-employed,Rented,575,79202,169,Yes,High
401,20,29582,Salaried,Rented,611,495404,301,Yes,Very High
402,57,8791,Salaried,Parental Home,709,419731,217,Yes,Very High
403,63,11458,Salaried,Parental Home,587,450934,353,Yes,High
404,41,20221,Salaried,Rented,824,68446,332,No,Very High
405,67,23968,Self-employed,Rented,700,484184,327,Yes,Medium
406,49,20070,Salaried,Owned,516,437911,147,Yes,High
407,64,30937,Self-employed,Rented,769,151493,86,Yes,Low
408,39,44831,Salaried,Rented,326,26008,80,Yes,Low
409,40,45933,Salaried,Rented,721,242838,312,No,Low
410,19,40415,Unemployed,Rented,313,355745,60,Yes,Medium
411,44,45770,Unemployed,Owned,800,100788,213,No,Low
412,59,23802,Salaried,Parental Home,624,437001,73,No,Low
413,19,46601,Self-employed,Owned,623,454168,178,Yes,Low
414,43,13420,Salaried,Rented,584,68552,216,No,Very High
415,34,9642,Unemployed,Rented,388,12005,160,Yes,High
416,57,22775,Salaried,Parental Home,344,385383,132,No,Very High
417,50,31754,Unemployed,Parental Home,797,117413,320,No,Medium
418,26,46310,Salaried,Parental Home,797,58737,108,No,Medium
419,60,7357,Salaried,Owned,444,298955,64,No,Medium
420,65,24263,Self-employed,Parental Home,817,238833,20,Yes,Very High
421,56,16201,Unemployed,Rented,381,385715,342,No,High
422,46,5739,Unemployed,Rented,466,365031,262,Yes,Low
423,59,16231,Unemployed,Rented,404,228803,135,No,Medium
424,43,45278,Self-employed,Owned,787,79722,133,Yes,Medium
425,52,45495,Salaried,Parental Home,609,448136,210,No,Very High
426,67,24168,Self-employed,Parental Home,381,292264,328,Yes,Low
427,42,35624,Salaried,Parental Home,393,337754,106,No,Low
428,41,13635,Self-employed,Parental Home,620,407339,41,Yes,Very High
429,30,12964,Self-employed,Rented,642,160738,103,Yes,Very High
430,24,30785,Unemployed,Owned,660,134996,95,No,Very High
431,53,32510,Self-employed,Parental Home,365,117602,26,No,High
432,62,20261,Salaried,Rented,728,353397,154,No,Medium
433,37,22254,Self-employed,Rented,700,314709,320,No,Medium
434,18,14392,Self-employed,Owned,470,372639,220,No,Medium
435,25,15336,Salaried,Parental Home,367,264298,34,Yes,High
436,63,14939,Unemployed,Owned,791,372996,337,Yes,Very High
437,33,30412,Salaried,Parental Home,333,286496,155,No,Medium
438,31,19676,Salaried,Owned,300,298770,98,No,Medium
439,29,12843,Salaried,Parental Home,450,247440,204,No,Medium
440,68,48591,Self-employed,Parental Home,557,491405,184,No,High
441,40,28112,Self-employed,Owned,318,363969,274,No,Very High
442,32,33598,Salaried,Parental Home,334,138731,306,Yes,Medium
443,45,38454,Salaried,Owned,670,136705,61,Yes,Medium
444,51,36001,Unemployed,Owned,790,20716,59,Yes,High
445,19,30228,Self-employed,Parental Home,540,499748,60,No,Very High
446,49,17429,Self-employed,Parental Home,306,358480,179,No,Very High
447,40,21758,Self-employed,Owned,848,153704,178,No,Medium
448,39,5272,Self-employed,Rented,670,284510,93,Yes,Low
449,68,20350,Salaried,Owned,549,433494,74,No,High
450,42,25538,Salaried,Rented,414,352914,239,No,Low
451,39,6400,Unemployed,Rented,636,255518,225,No,Low
